"International travellers entering or returning to Canada, by type of transportation and traveller type 1",,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,
Table: 24-10-0053-01,,,,,,,,,,,,,,
Release date: 2025-03-21,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,
Traveller type,Reference period,International travellers entering or returning to Canada,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water","Residents of countries other than the United States of America, air","Residents of countries other than the United States of America, land","Residents of countries other than the United States of America, water",Canadian-resident visitors returning to Canada,Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
,15-Feb,"5,830,111","1,004,172","221,476","782,435",261,"226,732","24,514",80,"4,051,906","3,023,370","776,652","2,246,459",259
,15-Mar,"7,434,298","1,183,579","270,023","911,841","1,715","234,459","29,935",237,"5,381,225","4,065,897","928,641","3,135,350","1,906"
,15-Apr,"7,288,754","1,366,855","302,288","1,055,213","9,354","276,827","41,900","1,446","5,010,400","3,913,648","831,565","3,074,730","7,353"
,15-May,"8,085,646","1,945,998","412,512","1,425,436","108,050","402,923","75,297","29,315","4,976,433","4,065,567","652,724","3,382,375","30,468"
,15-Jun,"8,369,947","2,654,034","576,978","1,896,320","180,736","535,109","85,741","31,566","4,373,333","3,641,151","490,507","3,133,116","17,528"
,15-Jul,"10,148,968","3,247,114","622,153","2,415,230","209,731","684,310","117,339","34,670","5,372,443","4,520,721","542,140","3,943,691","34,890"
,15-Aug,"10,346,459","3,025,954","558,883","2,261,423","205,648","615,902","123,568","36,057","5,839,290","4,739,134","604,748","4,094,939","39,447"
,15-Sep,"7,742,339","2,141,658","429,431","1,545,325","166,902","508,453","90,279","48,672","4,252,128","3,453,056","528,082","2,891,593","33,381"
,15-Oct,"6,820,213","1,667,215","361,001","1,255,873","50,341","334,754","63,000","8,105","4,113,548","3,307,043","595,191","2,702,205","9,647"
,15-Nov,"6,054,215","1,277,052","275,818","999,179","2,055","199,379","31,532","2,457","3,981,073","3,177,780","645,772","2,529,396","2,612"
,15-Dec,"6,414,415","1,525,352","336,706","1,186,795","1,851","328,308","32,662",305,"3,972,182","3,067,459","600,227","2,465,962","1,270"
,16-Jan,"6,223,853","1,145,168","240,179","904,807",182,"237,403","27,574",52,"4,256,654","2,922,914","716,712","2,206,077",125
,16-Feb,"5,739,888","1,208,277","281,922","926,044",311,"245,400","26,091",102,"3,692,913","2,576,508","705,119","1,871,198",191
,16-Mar,"7,147,080","1,426,637","331,884","1,093,283","1,470","261,356","33,957",109,"4,798,376","3,470,015","848,250","2,621,310",455
,16-Apr,"6,940,242","1,507,640","341,987","1,150,243","15,410","297,591","41,256","2,479","4,475,783","3,335,607","755,725","2,570,820","9,062"
,16-May,"7,822,942","2,056,876","462,286","1,478,142","116,448","421,027","73,014","33,875","4,552,037","3,622,055","642,386","2,948,259","31,410"
,16-Jun,"8,190,937","2,757,286","661,795","1,904,936","190,555","612,694","83,786","34,184","3,989,742","3,276,766","503,939","2,754,726","18,101"
,16-Jul,"10,329,067","3,585,256","727,463","2,627,533","230,260","820,924","117,542","38,301","5,060,979","4,193,491","538,517","3,623,153","31,821"
,16-Aug,"10,418,544","3,112,184","622,230","2,297,870","192,084","752,996","120,944","34,662","5,649,050","4,568,718","633,462","3,901,299","33,957"
,16-Sep,"8,209,474","2,343,198","524,710","1,632,221","186,267","591,869","89,704","53,298","4,399,416","3,523,793","558,566","2,931,599","33,628"
,16-Oct,"7,166,508","1,785,403","413,400","1,303,648","68,355","408,252","66,406","13,790","4,263,376","3,418,760","639,823","2,766,331","12,606"
,16-Nov,"6,104,302","1,375,198","313,513","1,059,558","2,127","240,206","32,105",224,"3,884,291","3,075,251","662,266","2,412,593",392
,16-Dec,"6,525,458","1,592,262","387,935","1,203,973",354,"400,269","33,325",139,"3,956,751","3,005,257","641,787","2,363,368",102
,17-Jan,"6,464,176","1,164,610","271,319","893,109",182,"285,516","28,696",96,"4,411,017","3,050,181","783,361","2,266,722",98
,17-Feb,"5,888,435","1,170,713","272,021","898,333",359,"270,805","25,526",75,"3,878,825","2,715,331","740,680","1,974,461",190
,17-Mar,"7,211,792","1,344,621","344,104","999,913",604,"295,550","30,396",73,"4,900,730","3,486,332","934,527","2,551,574",231
,17-Apr,"7,455,154","1,613,774","383,922","1,214,537","15,315","396,800","41,353","2,586","4,806,137","3,610,389","846,231","2,755,395","8,763"
,17-May,"7,659,657","2,023,086","476,739","1,442,417","103,930","476,400","66,368","30,641","4,320,313","3,368,380","668,912","2,672,385","27,083"
,17-Jun,"8,548,691","2,912,046","728,064","1,980,577","203,405","670,614","85,321","41,307","4,057,972","3,260,986","607,941","2,636,767","16,278"
,17-Jul,"10,432,194","3,558,512","739,458","2,606,074","212,980","870,296","103,814","37,188","5,126,696","4,250,935","643,064","3,580,887","26,984"
,17-Aug,"10,807,268","3,249,568","668,893","2,381,313","199,362","795,519","109,131","38,187","5,803,114","4,720,186","701,956","3,987,240","30,990"
,17-Sep,"8,538,863","2,396,044","522,363","1,663,586","210,095","626,617","91,289","65,085","4,579,243","3,699,710","648,057","3,018,741","32,912"
,17-Oct,"7,428,132","1,825,062","450,784","1,300,204","74,074","449,714","60,281","18,813","4,377,736","3,576,607","737,245","2,826,438","12,924"
,17-Nov,"6,533,512","1,422,079","361,803","1,060,011",265,"271,845","40,221",398,"4,146,473","3,342,409","791,885","2,550,252",272
,17-Dec,"6,892,416","1,614,905","399,640","1,215,214",51,"425,964","33,305",133,"4,223,256","3,313,254","746,789","2,566,431",34
,18-Jan,"6,588,511","1,146,690","289,486","857,092",112,"293,447","25,939",49,"4,479,356","3,206,391","872,392","2,333,912",87
,18-Feb,"6,227,230","1,186,593","296,703","889,718",172,"313,935","25,658",75,"4,093,456","2,984,793","852,060","2,132,580",153
,18-Mar,"8,020,709","1,495,019","367,360","1,127,271",388,"334,015","32,261",208,"5,454,152","4,066,474","1,039,645","3,026,524",305
,18-Apr,"7,595,728","1,437,650","354,384","1,070,433","12,833","336,315","37,054","4,447","5,082,887","3,893,105","956,969","2,929,605","6,531"
,18-May,"8,227,580","2,015,515","442,218","1,467,447","105,850","484,560","76,547","35,085","4,850,987","3,929,861","774,033","3,127,170","28,658"
,18-Jun,"8,912,201","2,982,857","669,864","2,098,785","214,208","682,862","87,533","40,194","4,320,313","3,568,775","616,354","2,933,618","18,803"
,18-Jul,"10,453,482","3,522,169","707,609","2,594,853","219,707","831,780","125,648","35,780","5,175,972","4,298,575","652,977","3,616,981","28,617"
,18-Aug,"10,921,354","3,402,996","655,554","2,525,958","221,484","769,361","144,927","40,482","5,747,758","4,674,799","736,841","3,901,715","36,243"
,18-Sep,"8,369,374","2,319,196","512,183","1,609,931","197,082","629,486","87,204","65,124","4,497,527","3,629,642","687,699","2,909,266","32,677"
,18-Oct,"7,375,417","1,795,847","435,419","1,291,330","69,098","431,362","89,886","12,996","4,323,663","3,551,483","798,215","2,742,215","11,053"
,18-Nov,"6,405,234","1,435,666","351,665","1,083,634",367,"260,843","53,515",289,"4,029,660","3,241,304","838,853","2,402,231",220
,18-Dec,"6,997,520","1,672,242","389,275","1,282,920",47,"412,237","60,593",147,"4,284,283","3,329,676","808,470","2,521,169",37
,19-Jan,"6,460,003","1,140,166","281,378","858,662",126,"308,116","43,822",110,"4,356,374","3,035,434","904,756","2,130,547",131
,19-Feb,"6,066,966","1,158,358","298,744","859,511",103,"294,190","41,845",87,"4,001,703","2,836,843","905,637","1,931,112",94
,19-Mar,"7,916,982","1,457,330","366,667","1,089,374","1,289","296,522","49,274",439,"5,450,366","4,004,204","1,138,388","2,863,431","2,385"
,19-Apr,"7,701,035","1,589,192","403,386","1,178,578","7,228","392,668","86,075","3,536","4,983,182","3,816,335","985,940","2,827,799","2,596"
,19-May,"8,288,864","2,135,005","470,254","1,529,589","135,162","508,495","125,659","39,785","4,714,952","3,743,616","805,734","2,905,090","32,792"
,19-Jun,"8,918,874","2,998,407","685,288","2,092,327","220,792","694,464","154,502","40,110","4,271,769","3,491,187","638,538","2,832,834","19,815"
,19-Jul,"10,652,180","3,615,631","735,103","2,640,986","239,542","822,073","231,481","44,235","5,179,202","4,310,150","662,300","3,618,927","28,923"
,19-Aug,"11,281,509","3,552,265","666,738","2,652,451","233,076","774,309","250,441","35,412","5,885,884","4,766,463","739,182","3,990,837","36,444"
,19-Sep,"8,423,601","2,295,325","534,797","1,550,516","210,012","630,294","149,599","69,221","4,512,688","3,634,855","707,125","2,886,559","41,171"
,19-Oct,"7,427,144","1,854,059","442,252","1,326,872","84,935","443,167","100,360","24,983","4,294,765","3,504,393","815,519","2,678,978","9,896"
,19-Nov,"6,530,956","1,464,188","340,349","1,123,266",573,"268,041","54,358",387,"4,129,734","3,286,910","882,499","2,401,886","2,525"
,19-Dec,"7,141,914","1,697,726","412,596","1,284,817",313,"431,874","62,057",128,"4,376,787","3,383,473","853,109","2,530,244",120
,20-Jan,"6,603,221","1,201,690","283,023","918,575",92,"317,526","47,991",110,"4,430,895","3,069,835","936,866","2,132,891",78
,20-Feb,"6,472,411","1,281,300","294,559","986,589",152,"276,966","37,275",166,"4,289,711","3,073,031","928,622","2,144,269",140
,20-Mar,"4,599,473","610,781","138,668","471,980",133,"128,270","21,126",75,"3,258,227","2,237,531","699,131","1,538,185",215
,20-Apr,"614,019","51,042","2,817","48,197",28,"12,076","4,513",23,"181,085","151,775","10,969","140,775",31
,20-May,"678,617","72,078","3,710","68,280",88,"9,585","4,654",45,"195,637","169,316","9,573","159,648",95
,20-Jun,"858,709","101,607","8,011","93,220",376,"15,641","4,161",115,"246,682","210,824","16,163","194,451",210
,20-Jul,"944,343","113,414","11,028","102,027",359,"24,130","4,154",74,"287,015","233,672","26,156","207,192",324
,20-Aug,"1,029,863","120,824","14,009","106,490",325,"33,092","4,709",39,"344,846","254,258","36,544","217,375",339
,20-Sep,"1,010,470","112,980","12,296","100,402",282,"30,483","4,277",37,"324,815","250,399","32,322","217,801",276
,20-Oct,"1,039,232","112,513","12,928","99,451",134,"23,366","4,026",11,"341,256","268,993","42,222","226,634",137
,20-Nov,"961,840","98,444","14,112","84,283",49,"24,742","3,944",29,"325,853","252,607","54,473","198,069",65
,20-Dec,"1,046,105","113,887","20,743","93,127",17,"36,636","3,716",7,"379,325","271,069","62,463","208,552",54
,21-Jan,"1,047,375","86,456","11,487","74,962",7,"31,254","3,198",13,"425,521","264,999","72,649","192,318",32
,21-Feb,"875,292","75,398","6,091","69,287",20,"22,825","3,411",21,"295,857","216,261","32,198","184,000",63
,21-Mar,"1,002,245","95,943","4,450","91,445",48,"24,036","3,593",11,"305,700","256,854","18,870","237,884",100
,21-Apr,"999,014","95,634","5,105","90,365",164,"31,579","3,405",16,"338,383","283,318","23,586","259,592",140
,21-May,"1,027,393","113,451","5,625","107,208",618,"22,696","4,116",24,"363,228","311,849","28,189","283,359",301
,21-Jun,"1,096,313","128,447","8,237","119,614",596,"29,341","5,075",77,"372,046","310,858","25,263","285,139",456
,21-Jul,"1,339,476","194,799","37,113","157,251",435,"57,800","5,722",148,"535,100","393,797","93,199","300,171",427
,21-Aug,"2,008,418","509,669","90,826","416,743","2,100","85,211","5,860",242,"847,856","506,130","170,043","335,714",373
,21-Sep,"2,026,491","518,223","117,621","399,252","1,350","146,688","6,445",306,"788,341","474,741","175,704","298,613",424
,21-Oct,"2,102,016","488,616","127,057","361,227",332,"154,460","5,962",314,"858,223","556,775","253,509","303,044",222
,21-Nov,"2,296,178","439,089","121,562","317,449",78,"113,192","7,805",185,"1,152,740","785,838","324,867","460,839",132
,21-Dec,"2,966,051","550,264","170,313","379,852",99,"200,266","10,684",146,"1,622,506","1,119,062","335,437","783,556",69
,22-Jan,"2,050,193","218,558","57,701","160,707",150,"74,412","5,218",29,"1,153,819","690,166","261,143","428,880",143
,22-Feb,"2,023,220","314,845","84,740","229,815",290,"99,375","5,551",66,"1,072,656","686,331","276,540","409,574",217
,22-Mar,"3,313,540","465,235","145,457","319,098",680,"138,494","10,369",62,"2,022,744","1,337,777","549,331","788,127",319
,22-Apr,"4,488,535","759,600","177,986","558,454","23,160","215,863","23,864","1,986","2,791,612","2,082,892","611,533","1,461,269","10,090"
,22-May,"5,064,462","1,112,682","267,730","712,782","132,170","270,192","32,456","12,799","2,860,928","2,208,563","593,245","1,592,223","23,095"
,22-Jun,"5,550,103","1,724,681","488,894","1,036,239","199,548","400,659","48,919","14,483","2,557,706","1,986,034","448,483","1,518,271","19,280"
,22-Jul,"6,924,477","2,193,729","544,342","1,396,245","253,142","513,034","85,118","23,099","3,311,164","2,590,353","503,589","2,049,906","36,858"
,22-Aug,"7,189,241","1,968,894","452,798","1,263,991","252,105","423,848","100,130","22,582","3,733,954","2,981,103","685,025","2,253,542","42,536"
,22-Sep,"5,922,830","1,560,470","394,645","947,905","217,920","368,135","60,386","40,096","2,993,624","2,454,950","720,137","1,697,525","37,288"
,22-Oct,"5,776,387","1,388,757","313,318","964,263","111,176","287,408","62,203","17,570","3,269,764","2,778,994","867,608","1,888,710","22,676"
,22-Nov,"5,016,599","1,036,655","253,459","768,230","14,966","195,390","34,939","1,359","3,085,203","2,576,282","947,860","1,619,412","9,010"
,22-Dec,"5,363,297","1,221,069","314,029","891,140","15,900","329,467","38,023",889,"3,083,227","2,468,779","924,034","1,539,215","5,530"
,23-Jan,"5,426,863","866,679","198,179","666,019","2,481","209,255","31,371",432,"3,596,215","2,744,340","1,107,843","1,633,224","3,273"
,23-Feb,"5,113,477","945,125","220,099","719,647","5,379","229,341","26,030",483,"3,281,009","2,506,356","1,025,421","1,476,489","4,446"
,23-Mar,"6,467,432","1,094,111","275,072","807,607","11,432","254,142","33,258",798,"4,325,838","3,340,318","1,324,037","2,008,241","8,040"
,23-Apr,"6,493,036","1,300,810","290,091","967,742","42,977","312,906","54,639","5,671","4,070,307","3,194,372","1,115,878","2,062,250","16,244"
,23-May,"7,162,254","1,831,775","397,503","1,225,810","208,462","410,274","101,733","33,237","3,910,979","3,146,982","902,416","2,189,862","54,704"
,23-Jun,"7,684,539","2,652,705","645,915","1,691,647","315,143","570,581","96,152","34,946","3,432,111","2,779,175","645,219","2,099,269","34,687"
,23-Jul,"9,335,041","3,130,621","676,825","2,109,728","344,068","677,101","154,226","36,165","4,467,778","3,710,779","699,943","2,959,442","51,394"
,23-Aug,"9,626,532","2,834,744","561,136","1,927,709","345,899","554,414","177,275","39,279","4,941,360","4,016,428","764,920","3,189,774","61,734"
,23-Sep,"7,669,581","2,174,918","466,328","1,399,829","308,761","518,422","112,159","51,726","3,857,853","3,078,088","714,734","2,310,135","53,219"
,23-Oct,"6,824,226","1,628,185","380,950","1,105,574","141,661","399,209","84,309","26,305","3,901,122","3,132,432","855,637","2,250,207","26,588"
,23-Nov,"5,875,784","1,219,676","286,449","918,409","14,818","249,241","49,917","1,225","3,655,281","2,857,395","863,975","1,985,056","8,364"
,23-Dec,"6,573,124","1,524,595","357,962","1,144,817","21,816","411,244","56,358","1,768","3,837,374","2,847,693","808,958","2,030,973","7,762"
,24-Jan,"5,996,107","910,621","223,574","685,639","1,408","241,599","36,646",500,"4,038,839","2,734,155","919,454","1,811,362","3,339"
,24-Feb,"6,059,632","1,127,588","256,940","863,248","7,400","294,631","36,730",759,"3,903,868","2,696,638","900,551","1,790,552","5,535"
,24-Mar,"7,456,062","1,336,056","314,412","1,006,609","15,035","299,806","45,863","1,219","5,014,786","3,587,100","1,102,718","2,474,154","10,228"
,24-Apr,"7,137,558","1,476,081","338,941","1,081,227","55,913","339,540","61,205","9,948","4,466,304","3,265,468","969,354","2,278,315","17,799"
,24-May,"7,964,471","2,072,414","478,262","1,369,118","225,034","472,784","99,157","43,609","4,388,244","3,380,612","863,362","2,463,544","53,706"
,24-Jun,"8,324,558","2,897,819","716,155","1,854,296","327,368","594,847","114,349","36,734","3,842,993","3,014,943","638,697","2,338,388","37,858"
,24-Jul,"9,868,812","3,353,349","757,800","2,233,841","361,708","702,836","163,346","40,489","4,764,227","3,802,378","672,209","3,080,319","49,850"
,24-Aug,"10,287,567","3,195,854","658,839","2,163,030","373,985","592,817","173,281","45,128","5,309,213","4,165,080","733,921","3,367,608","63,551"
,24-Sep,"7,975,749","2,198,468","524,015","1,345,936","328,517","503,646","112,229","67,815","4,210,993","3,263,428","702,673","2,504,831","55,924"
,24-Oct,"7,116,079","1,760,987","421,401","1,219,730","119,856","375,214","96,115","19,967","4,085,936","3,170,986","807,440","2,341,957","21,589"
,24-Nov,"6,307,869","1,448,685","327,266","1,108,268","13,151","229,768","53,835","1,757","3,908,515","2,940,721","820,944","2,111,545","8,232"
,24-Dec,"6,863,891","1,685,491","414,766","1,251,527","19,198","388,882","56,076","1,612","4,067,770","2,993,344","807,318","2,177,772","8,254"
,25-Jan,"6,149,513","1,100,257","248,628","849,495","2,134","238,990","37,345",636,"4,017,692","2,670,643","845,669","1,822,502","2,472"
Excursionists,Jan-00,...,"1,803,215","23,149","1,779,864",202,0,"9,338",0,"1,949,558","1,949,558","7,764","1,941,794",0
,Feb-00,...,"1,836,476","26,279","1,810,083",114,0,"7,280",0,"1,947,994","1,947,994","8,425","1,939,569",0
,Mar-00,...,"2,087,106","27,965","2,058,926",215,0,"9,068",0,"2,363,423","2,363,423","10,269","2,353,154",0
,Apr-00,...,"2,225,278","40,774","2,182,705","1,799",0,"16,783",0,"2,365,707","2,365,707","8,925","2,356,749",33
,May-00,...,"2,527,006","52,176","2,429,118","45,712",0,"19,416",0,"2,417,945","2,417,945","7,968","2,409,333",644
,Jun-00,...,"2,738,053","70,079","2,591,150","76,824",0,"25,869",0,"2,412,063","2,412,063","6,281","2,403,377","2,405"
,Jul-00,...,"3,444,069","75,545","3,258,493","110,031",0,"31,971",0,"2,854,006","2,854,006","11,088","2,840,528","2,390"
,Aug-00,...,"3,304,557","73,405","3,123,591","107,561",0,"26,634",0,"2,856,328","2,856,328","12,763","2,841,525","2,040"
,Sep-00,...,"2,602,563","59,740","2,474,080","68,743",0,"23,819",0,"2,397,882","2,397,882","11,827","2,385,145",910
,Oct-00,...,"2,313,361","32,114","2,274,761","6,486",0,"19,634",0,"2,363,773","2,363,773","5,954","2,357,819",0
,Nov-00,...,"2,009,293","26,660","1,981,702",931,0,"9,907",0,"2,074,644","2,074,644","6,278","2,068,366",0
,Dec-00,...,"1,913,868","24,772","1,888,863",233,0,"5,489",0,"1,996,125","1,996,125","5,345","1,990,780",0
,01-Jan,...,"1,897,548","25,200","1,872,189",159,0,"5,331",0,"1,995,372","1,995,372","10,658","1,984,714",0
,01-Feb,...,"1,849,038","25,514","1,823,400",124,0,"4,321",0,"1,803,911","1,803,911","10,096","1,793,815",0
,01-Mar,...,"2,163,195","29,233","2,133,626",336,0,"6,574",0,"2,175,125","2,175,125","12,726","2,162,399",0
,01-Apr,...,"2,216,728","34,233","2,178,101","4,394",0,"12,404",0,"2,184,263","2,184,263","8,880","2,175,354",29
,01-May,...,"2,562,599","42,967","2,472,001","47,631",0,"20,625",0,"2,304,663","2,304,663","7,457","2,296,486",720
,01-Jun,...,"2,919,246","57,144","2,777,992","84,110",0,"21,562",0,"2,337,588","2,337,588","5,785","2,327,948","3,855"
,01-Jul,...,"3,595,922","61,098","3,425,586","109,238",0,"31,878",0,"2,747,515","2,747,515","8,809","2,737,032","1,674"
,01-Aug,...,"3,422,283","63,338","3,253,520","105,425",0,"28,777",0,"2,820,765","2,820,765","9,492","2,809,522","1,751"
,01-Sep,...,"1,873,312","36,062","1,766,559","70,691",0,"16,047",0,"1,698,167","1,698,167","5,527","1,691,630","1,010"
,01-Oct,...,"1,507,381","27,320","1,474,509","5,552",0,"9,019",0,"1,559,598","1,559,598","5,254","1,554,344",0
,01-Nov,...,"1,621,802","21,640","1,599,002","1,160",0,"5,274",0,"1,565,890","1,565,890","5,568","1,560,322",0
,01-Dec,...,"1,672,018","22,243","1,649,477",298,0,"4,340",0,"1,648,659","1,648,659","5,111","1,643,548",0
,02-Jan,...,"1,569,937","24,688","1,545,110",139,0,"4,372",0,"1,596,163","1,596,163","5,877","1,590,286",0
,02-Feb,...,"1,555,162","22,874","1,532,142",146,0,"3,442",0,"1,436,695","1,436,695","5,792","1,430,903",0
,02-Mar,...,"1,861,327","26,681","1,834,234",412,0,"5,556",0,"1,774,525","1,774,525","7,260","1,767,265",0
,02-Apr,...,"1,858,053","34,652","1,820,105","3,296",0,"7,175",0,"1,713,779","1,713,779","5,487","1,708,286",6
,02-May,...,"2,157,445","44,801","2,068,941","43,703",0,"11,702",0,"1,860,249","1,860,249","4,915","1,854,850",484
,02-Jun,...,"2,413,910","64,168","2,258,466","91,276",0,"11,465",0,"1,882,015","1,882,015","3,791","1,875,351","2,873"
,02-Jul,...,"2,818,585","54,528","2,655,306","108,751",0,"26,015",0,"2,107,877","2,107,877","4,331","2,102,112","1,434"
,02-Aug,...,"2,896,507","54,844","2,730,393","111,270",0,"21,717",0,"2,218,500","2,218,500","4,935","2,212,084","1,481"
,02-Sep,...,"2,104,659","37,732","1,996,140","70,787",0,"13,657",0,"1,797,055","1,797,055","4,462","1,791,874",719
,02-Oct,...,"1,931,574","26,027","1,899,276","6,271",0,"11,550",0,"1,819,471","1,819,471","3,281","1,816,190",0
,02-Nov,...,"1,783,883","21,907","1,760,876","1,100",0,"7,026",0,"1,634,427","1,634,427","3,351","1,631,076",0
,02-Dec,...,"1,759,911","21,442","1,738,254",215,0,"4,606",0,"1,693,813","1,693,813","3,076","1,690,737",0
,03-Jan,...,"1,550,115","21,807","1,528,169",139,0,"4,818",0,"1,623,079","1,623,079","4,701","1,618,378",0
,03-Feb,...,"1,399,669","20,324","1,379,195",150,0,"3,481",0,"1,441,676","1,441,676","4,766","1,436,910",0
,03-Mar,...,"1,536,568","22,187","1,514,125",256,0,"4,269",0,"1,633,862","1,633,862","5,746","1,628,116",0
,03-Apr,...,"1,474,290","23,646","1,448,527","2,117",0,"5,281",0,"1,532,300","1,532,300","3,871","1,528,409",20
,03-May,...,"1,786,260","29,937","1,719,233","37,090",0,"8,404",0,"1,814,910","1,814,910","3,582","1,810,796",532
,03-Jun,...,"2,012,706","45,413","1,891,809","75,484",0,"10,084",0,"1,884,596","1,884,596","2,974","1,878,287","3,335"
,03-Jul,...,"2,507,661","68,373","2,362,883","76,405",0,"13,094",0,"2,140,388","2,140,388","4,246","2,134,822","1,320"
,03-Aug,...,"2,523,503","65,778","2,373,688","84,037",0,"11,774",0,"2,233,846","2,233,846","4,648","2,227,595","1,603"
,03-Sep,...,"1,787,842","45,668","1,694,588","47,586",0,"11,186",0,"1,810,412","1,810,412","4,114","1,805,724",574
,03-Oct,...,"1,696,041","25,422","1,664,711","5,908",0,"8,764",0,"1,860,974","1,860,974","4,821","1,856,153",0
,03-Nov,...,"1,553,479","20,290","1,532,458",731,0,"5,566",0,"1,783,849","1,783,849","4,940","1,778,909",0
,03-Dec,...,"1,448,909","21,995","1,426,643",271,0,"4,538",0,"1,725,605","1,725,605","4,528","1,721,077",0
,04-Jan,...,"1,240,817","15,263","1,225,392",162,0,"4,450",0,"1,561,200","1,561,200","3,218","1,557,982",0
,04-Feb,...,"1,333,435","17,131","1,316,134",170,0,"3,984",0,"1,590,581","1,590,581","3,518","1,587,063",0
,04-Mar,...,"1,417,295","20,187","1,396,783",325,0,"5,680",0,"1,840,424","1,840,424","4,308","1,836,116",0
,04-Apr,...,"1,407,716","33,043","1,372,984","1,689",0,"8,134",0,"1,828,999","1,828,999","8,002","1,820,951",46
,04-May,...,"1,691,387","39,369","1,606,618","45,400",0,"12,358",0,"1,946,014","1,946,014","6,802","1,938,474",738
,04-Jun,...,"1,974,486","54,305","1,830,844","89,337",0,"15,207",0,"1,872,477","1,872,477","5,126","1,864,991","2,360"
,04-Jul,...,"2,351,026","58,639","2,206,713","85,674",0,"19,229",0,"2,111,693","2,111,693","3,445","2,106,800","1,448"
,04-Aug,...,"2,222,518","56,584","2,089,336","76,598",0,"20,420",0,"2,122,116","2,122,116","3,395","2,117,329","1,392"
,04-Sep,...,"1,714,532","41,459","1,616,803","56,270",0,"30,830",0,"1,816,098","1,816,098","3,417","1,812,003",678
,04-Oct,...,"1,555,605","22,727","1,528,500","4,378",0,"31,800",0,"1,897,083","1,897,083","5,078","1,892,005",0
,04-Nov,...,"1,353,681","19,353","1,333,565",763,0,"5,591",0,"1,799,452","1,799,452","5,264","1,794,188",0
,04-Dec,...,"1,276,108","19,086","1,256,745",277,0,"3,567",0,"1,804,643","1,804,643","5,042","1,799,601",0
,05-Jan,...,"1,126,015","14,589","1,111,308",118,0,"3,953",0,"1,574,419","1,574,419","4,832","1,569,587",0
,05-Feb,...,"1,129,049","15,995","1,112,840",214,0,"2,567",0,"1,571,025","1,571,025","4,741","1,566,284",0
,05-Mar,...,"1,264,296","17,118","1,246,901",277,0,"6,018",0,"1,889,488","1,889,488","5,960","1,883,528",0
,05-Apr,...,"1,296,340","25,820","1,268,799","1,721",0,"8,289",0,"1,831,367","1,831,367","5,832","1,825,530",5
,05-May,...,"1,516,140","34,492","1,435,792","45,856",0,"11,876",0,"1,930,717","1,930,717","5,179","1,925,166",372
,05-Jun,...,"1,734,315","48,996","1,596,037","89,282",0,"17,792",0,"1,907,432","1,907,432","3,878","1,901,188","2,366"
,05-Jul,...,"2,138,978","51,430","1,976,619","110,929",0,"20,848",0,"2,243,636","2,243,636","6,899","2,235,836",901
,05-Aug,...,"1,952,462","46,545","1,812,694","93,223",0,"21,316",0,"2,311,001","2,311,001","7,401","2,302,796",804
,05-Sep,...,"1,473,513","37,669","1,366,864","68,980",0,"12,560",0,"1,938,850","1,938,850","7,196","1,931,303",351
,05-Oct,...,"1,326,903","26,647","1,295,798","4,458",0,"8,900",0,"1,965,890","1,965,890","5,959","1,959,931",0
,05-Nov,...,"1,137,415","22,298","1,114,642",475,0,"5,455",0,"1,848,263","1,848,263","6,052","1,842,211",0
,05-Dec,...,"1,168,890","22,424","1,146,318",148,0,"5,664",0,"1,919,810","1,919,810","5,457","1,914,353",0
,06-Jan,...,"1,074,045","13,895","1,060,061",89,0,"2,990",0,"1,775,227","1,775,227","6,373","1,768,854",0
,06-Feb,...,"987,171","14,306","972,764",101,0,"2,909",0,"1,568,331","1,568,331","6,147","1,562,184",0
,06-Mar,...,"1,119,266","16,490","1,102,515",261,0,"4,676",0,"1,988,350","1,988,350","7,829","1,980,521",0
,06-Apr,...,"1,187,620","22,739","1,162,649","2,232",0,"6,263",0,"2,036,665","2,036,665","6,755","2,029,893",17
,06-May,...,"1,302,030","28,816","1,235,929","37,285",0,"12,161",0,"2,112,391","2,112,391","5,657","2,106,164",570
,06-Jun,...,"1,501,681","38,570","1,392,800","70,311",0,"13,206",0,"2,016,032","2,016,032","4,324","2,010,220","1,488"
,06-Jul,...,"1,842,888","39,572","1,718,476","84,840",0,"18,876",0,"2,329,033","2,329,033","6,694","2,321,474",865
,06-Aug,...,"1,656,961","38,258","1,543,819","74,884",0,"16,975",0,"2,364,162","2,364,162","7,481","2,355,933",748
,06-Sep,...,"1,274,680","30,656","1,192,345","51,679",0,"12,792",0,"2,010,446","2,010,446","6,961","2,003,146",339
,06-Oct,...,"1,067,910","19,653","1,043,024","5,233",0,"7,099",0,"1,965,456","1,965,456","6,973","1,958,483",0
,06-Nov,...,"976,036","15,818","959,765",453,0,"4,409",0,"1,955,266","1,955,266","7,364","1,947,902",0
,06-Dec,...,"1,026,918","15,628","1,011,019",271,0,"5,243",0,"2,059,760","2,059,760","6,874","2,052,886",0
