"International travellers entering or returning to Canada, by type of transportation and traveller type 1",,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,
Table: 24-10-0053-01,,,,,,,,,,,,,,
Release date: 2025-03-21,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Geography,Canada,,,,,,,,,,,,
Traveller type,Reference period,International travellers entering or returning to Canada,United States of America residents entering Canada,"United States of America residents, air","United States of America residents, land","United States of America residents, water","Residents of countries other than the United States of America, air","Residents of countries other than the United States of America, land","Residents of countries other than the United States of America, water",Canadian-resident visitors returning to Canada,Canadian residents returning from the United States of America,"Canadian residents returning from the United States of America, air","Canadian residents returning from the United States of America, land","Canadian residents returning from the United States of America, water"
,03-Apr,"6,042,498","2,205,365","221,376","1,979,009","4,980","181,552","21,335",649,"2,916,962","2,514,029","375,541","2,137,464","1,024"
,03-May,"7,042,900","2,854,323","278,261","2,498,208","77,854","201,294","30,973","11,061","3,147,709","2,821,155","343,218","2,456,904","21,033"
,03-Jun,"7,970,045","3,631,620","449,435","3,028,525","153,660","304,123","42,709","14,667","3,192,578","2,892,068","278,980","2,589,705","23,383"
,03-Jul,"10,040,356","4,818,358","547,727","4,068,393","202,238","412,549","57,637","15,060","3,957,726","3,586,927","285,017","3,271,729","30,181"
,03-Aug,"10,676,971","4,989,353","511,923","4,245,195","232,235","381,268","66,242","17,616","4,416,853","3,916,785","317,441","3,564,793","34,551"
,03-Sep,"7,504,353","3,061,504","352,485","2,551,401","157,618","324,715","48,308","19,113","3,223,663","2,860,236","276,807","2,556,218","27,211"
,03-Oct,"6,989,009","2,727,207","308,684","2,375,998","42,525","230,203","34,560","2,906","3,210,134","2,862,625","343,507","2,515,660","3,458"
,03-Nov,"6,148,062","2,271,117","241,234","2,028,887",996,"139,851","21,048",456,"3,039,982","2,681,582","365,197","2,316,073",312
,03-Dec,"6,168,017","2,324,435","297,478","2,026,457",500,"217,090","21,568",162,"2,944,666","2,533,838","345,196","2,188,508",134
,04-Jan,"5,741,252","1,833,581","200,893","1,632,375",313,"153,783","17,871",71,"3,076,141","2,421,217","402,378","2,018,639",200
,04-Feb,"5,976,164","2,044,641","225,021","1,819,228",392,"169,948","18,574",62,"3,065,344","2,476,418","443,631","2,032,586",201
,04-Mar,"6,985,738","2,177,005","275,269","1,901,088",648,"176,422","24,082",118,"3,817,467","3,143,821","528,941","2,614,585",295
,04-Apr,"6,890,834","2,303,407","292,618","2,006,790","3,999","213,255","28,515","1,635","3,580,677","3,054,537","458,701","2,594,738","1,098"
,04-May,"7,678,788","2,905,588","345,021","2,474,855","85,712","319,564","43,271","16,590","3,582,281","3,147,779","396,098","2,726,289","25,392"
,04-Jun,"8,257,510","3,716,020","491,699","3,038,411","185,910","409,261","53,456","23,447","3,207,259","2,861,076","292,738","2,550,668","17,670"
,04-Jul,"10,522,919","4,976,549","596,716","4,140,605","239,228","543,581","76,093","20,056","4,084,696","3,662,970","309,146","3,323,773","30,051"
,04-Aug,"10,386,113","4,607,033","590,184","3,793,868","222,981","482,905","79,811","20,171","4,341,719","3,834,954","300,688","3,504,867","29,399"
,04-Sep,"7,948,619","3,221,470","401,894","2,641,106","178,470","403,975","84,126","27,045","3,374,802","2,956,118","307,410","2,615,441","33,267"
,04-Oct,"7,112,851","2,605,066","333,194","2,231,403","40,469","298,249","69,649","5,507","3,379,070","3,008,283","393,272","2,611,498","3,513"
,04-Nov,"6,097,725","2,076,665","268,161","1,807,478","1,026","154,926","21,281",399,"3,138,201","2,776,338","406,789","2,369,234",315
,04-Dec,"6,226,400","2,159,089","308,269","1,850,328",492,"239,691","21,005",157,"3,138,636","2,703,786","400,214","2,303,400",172
,05-Jan,"5,857,864","1,711,345","228,299","1,482,636",410,"171,421","17,910",94,"3,292,089","2,548,897","482,633","2,066,091",173
,05-Feb,"5,840,138","1,854,779","253,646","1,600,673",460,"192,707","16,898",162,"3,102,610","2,493,474","471,320","2,021,904",250
,05-Mar,"7,164,727","2,053,896","275,596","1,777,678",622,"217,510","27,156",312,"4,099,890","3,375,419","592,224","2,782,759",436
,05-Apr,"6,795,787","2,107,294","274,318","1,829,866","3,110","220,290","31,849",478,"3,684,456","3,081,063","512,814","2,567,328",921
,05-May,"7,610,478","2,677,936","342,898","2,244,041","90,997","329,307","48,641","19,734","3,730,537","3,237,201","450,468","2,759,750","26,983"
,05-Jun,"8,233,710","3,484,998","518,386","2,787,790","178,822","450,093","64,440","21,914","3,356,449","2,968,579","325,105","2,626,188","17,286"
,05-Jul,"10,564,946","4,653,491","579,160","3,807,566","266,765","581,047","88,069","22,160","4,424,341","3,975,164","348,038","3,594,658","32,468"
,05-Aug,"10,329,565","4,119,742","508,569","3,381,766","229,407","483,844","99,034","21,398","4,738,943","4,167,434","383,312","3,756,082","28,040"
,05-Sep,"7,872,870","2,892,131","408,225","2,292,898","191,008","444,787","64,413","34,756","3,590,870","3,153,288","358,220","2,771,556","23,512"
,05-Oct,"6,867,943","2,266,885","328,671","1,904,830","33,384","299,019","42,527","4,206","3,512,958","3,104,577","426,972","2,674,255","3,350"
,05-Nov,"5,966,435","1,826,658","263,471","1,562,509",678,"173,784","24,454",583,"3,241,841","2,876,949","437,186","2,439,433",330
,05-Dec,"6,205,944","2,005,857","298,150","1,707,352",355,"267,360","22,503",234,"3,255,961","2,811,949","401,066","2,410,700",183
,06-Jan,"6,123,828","1,629,252","211,623","1,417,424",205,"188,512","15,590",210,"3,625,823","2,857,631","525,694","2,331,740",197
,06-Feb,"5,652,022","1,619,633","223,025","1,396,378",230,"188,234","17,357",141,"3,172,609","2,520,894","504,747","2,015,972",175
,06-Mar,"7,124,411","1,841,478","264,157","1,576,848",473,"210,233","24,960",133,"4,273,194","3,483,208","643,334","2,839,546",328
,06-Apr,"7,117,377","2,018,963","280,848","1,733,539","4,576","248,858","28,699",716,"4,117,687","3,479,399","548,923","2,928,421","2,055"
,06-May,"7,628,902","2,451,881","369,350","1,989,709","92,822","351,384","43,403","19,065","3,951,064","3,451,196","462,682","2,963,501","25,013"
,06-Jun,"8,135,549","3,227,016","515,175","2,534,485","177,356","448,393","56,420","24,081","3,550,249","3,122,577","347,136","2,757,174","18,267"
,06-Jul,"10,254,150","4,137,848","542,723","3,355,008","240,117","565,945","78,997","23,154","4,701,909","4,192,098","371,733","3,789,245","31,120"
,06-Aug,"10,177,794","3,768,710","508,342","3,041,700","218,668","509,309","82,131","20,162","4,962,030","4,367,805","417,658","3,920,809","29,338"
,06-Sep,"7,784,303","2,648,309","394,837","2,084,142","169,330","443,784","59,299","30,853","3,812,855","3,327,268","389,138","2,911,940","26,190"
,06-Oct,"6,694,273","1,991,814","314,871","1,626,273","50,670","293,785","38,620","6,878","3,643,289","3,207,459","458,427","2,744,975","4,057"
,06-Nov,"6,041,560","1,657,936","253,380","1,403,946",610,"175,586","21,301",278,"3,513,462","3,097,504","479,332","2,617,944",228
,06-Dec,"6,386,583","1,879,834","297,267","1,582,111",456,"279,940","20,786",340,"3,588,128","3,066,322","451,648","2,614,553",121
,07-Jan,"5,966,864","1,353,963","210,382","1,143,393",188,"189,976","16,909",153,"3,744,272","2,877,375","569,567","2,307,662",146
,07-Feb,"5,366,423","1,322,059","218,746","1,103,124",189,"204,310","16,807",174,"3,174,820","2,461,382","520,059","1,941,156",167
,07-Mar,"6,954,987","1,564,138","253,364","1,310,321",453,"235,038","21,767",245,"4,382,972","3,502,511","663,396","2,838,875",240
,07-Apr,"6,722,521","1,655,312","253,919","1,396,244","5,149","243,609","30,855",954,"4,101,662","3,408,943","573,835","2,833,589","1,519"
,07-May,"7,460,557","2,235,259","357,747","1,776,576","100,936","346,892","45,776","25,647","4,006,055","3,461,038","489,269","2,941,649","30,120"
,07-Jun,"8,101,847","3,034,207","493,540","2,345,162","195,505","473,597","58,096","28,144","3,717,996","3,256,545","364,025","2,868,357","24,163"
,07-Jul,"9,965,798","3,675,726","522,321","2,928,889","224,516","597,315","75,068","22,600","4,847,479","4,313,720","392,060","3,887,793","33,867"
,07-Aug,"10,410,713","3,611,684","501,722","2,885,486","224,476","522,000","80,808","22,688","5,350,819","4,693,036","450,859","4,207,422","34,755"
,07-Sep,"7,984,935","2,438,850","381,428","1,870,048","187,374","451,735","62,711","33,384","4,233,202","3,711,791","417,487","3,258,937","35,367"
,07-Oct,"7,222,257","1,840,328","315,276","1,463,961","61,091","296,613","39,687","8,675","4,286,349","3,804,551","489,583","3,307,485","7,483"
,07-Nov,"6,607,605","1,437,897","242,004","1,195,118",775,"187,413","23,754",176,"4,283,994","3,811,668","522,190","3,289,142",336
,07-Dec,"6,338,613","1,525,134","278,324","1,246,421",389,"288,551","26,312",473,"3,914,964","3,338,189","486,824","2,851,191",174
,08-Jan,"6,141,424","1,162,479","198,782","963,554",143,"198,302","20,002",86,"4,106,736","3,172,026","619,980","2,551,879",167
,08-Feb,"5,792,391","1,174,734","210,913","963,644",177,"210,930","18,030",214,"3,747,438","2,919,308","618,609","2,300,456",243
,08-Mar,"7,345,613","1,333,329","244,021","1,088,973",335,"232,784","24,837",273,"5,082,331","4,089,421","751,267","3,337,649",505
,08-Apr,"6,792,405","1,398,283","257,237","1,129,019","12,027","248,542","26,728","2,477","4,407,398","3,649,227","657,063","2,988,755","3,409"
,08-May,"7,725,340","2,004,245","335,088","1,562,854","106,303","377,404","49,763","28,834","4,511,167","3,906,890","547,322","3,329,182","30,386"
,08-Jun,"7,922,976","2,554,865","453,604","1,940,121","161,140","487,283","59,421","27,871","4,061,744","3,563,701","403,799","3,137,511","22,391"
,08-Jul,"9,741,519","3,263,123","505,499","2,541,659","215,965","605,274","83,888","26,096","5,036,074","4,455,823","432,769","3,988,885","34,169"
,08-Aug,"10,639,935","3,314,296","463,153","2,622,375","228,768","531,344","90,999","30,415","5,940,902","5,209,318","481,823","4,685,064","42,431"
,08-Sep,"7,310,084","1,988,107","341,001","1,450,397","196,709","444,399","69,777","38,457","4,034,108","3,509,115","408,644","3,062,321","38,150"
,08-Oct,"6,500,730","1,669,993","290,967","1,330,033","48,993","284,436","48,526","6,402","3,843,468","3,336,692","490,727","2,842,087","3,878"
,08-Nov,"5,665,692","1,335,212","224,543","1,110,037",632,"169,935","24,191",402,"3,604,216","3,079,764","518,234","2,561,156",374
,08-Dec,"5,567,937","1,406,979","281,041","1,125,668",270,"270,222","25,735",185,"3,361,675","2,721,960","489,850","2,231,992",118
,09-Jan,"5,396,029","1,090,995","183,404","907,468",123,"189,981","23,933",82,"3,596,059","2,593,090","569,630","2,023,341",119
,09-Feb,"5,208,347","1,120,662","190,547","929,894",221,"185,655","21,637",108,"3,388,321","2,532,238","562,168","1,969,864",206
,09-Mar,"6,462,277","1,254,647","209,604","1,044,694",349,"188,126","27,078",215,"4,434,685","3,397,799","686,589","2,710,931",279
,09-Apr,"6,296,219","1,436,777","228,177","1,204,628","3,972","246,443","31,924","2,407","4,040,644","3,247,186","605,233","2,640,466","1,487"
,09-May,"6,932,194","1,973,221","284,979","1,568,327","119,915","301,304","44,797","24,992","3,995,488","3,422,532","483,152","2,903,711","35,669"
,09-Jun,"6,528,112","2,147,353","401,288","1,555,581","190,484","405,749","51,892","24,043","3,275,847","2,798,224","358,146","2,412,797","27,281"
,09-Jul,"8,464,365","2,895,195","479,542","2,199,093","216,560","514,191","78,949","24,785","4,310,683","3,730,690","397,935","3,295,593","37,162"
,09-Aug,"9,308,825","2,782,090","418,104","2,143,024","220,962","448,194","85,247","23,839","5,310,675","4,589,836","500,293","4,046,023","43,520"
,09-Sep,"6,999,715","1,947,875","333,397","1,423,211","191,267","372,574","60,720","35,186","3,908,953","3,358,341","424,395","2,894,956","38,990"
,09-Oct,"6,142,228","1,461,206","268,002","1,146,031","47,173","257,456","40,851","12,841","3,758,844","3,255,637","510,543","2,740,560","4,534"
,09-Nov,"5,591,215","1,128,469","210,814","915,422","2,233","150,174","23,920",939,"3,746,349","3,239,376","530,357","2,708,545",474
,09-Dec,"5,802,539","1,287,118","264,990","1,021,851",277,"241,512","28,201",158,"3,717,516","3,089,199","528,427","2,560,595",177
,10-Jan,"5,862,727","1,045,322","178,505","866,690",127,"176,118","23,170",92,"4,087,531","3,092,336","638,197","2,454,010",129
,10-Feb,"5,547,238","1,152,076","201,918","949,854",304,"195,627","24,771",131,"3,640,639","2,805,243","610,154","2,194,833",256
,10-Mar,"7,086,612","1,220,989","232,897","987,730",362,"202,951","36,473",196,"4,997,382","3,987,507","753,262","3,233,919",326
,10-Apr,"7,034,873","1,365,298","241,057","1,119,099","5,142","225,534","39,838","2,367","4,798,142","3,967,980","699,550","3,266,379","2,051"
,10-May,"7,569,818","1,786,776","291,932","1,407,412","87,432","315,596","60,962","24,318","4,733,013","4,080,181","597,442","3,457,426","25,313"
,10-Jun,"7,652,152","2,357,460","438,906","1,753,382","165,172","442,904","67,855","25,056","4,056,946","3,523,454","444,340","3,060,723","18,391"
,10-Jul,"9,898,301","3,165,878","487,156","2,459,632","219,090","545,692","95,369","23,982","5,388,379","4,745,877","476,289","4,236,182","33,406"
,10-Aug,"10,249,456","2,869,457","437,970","2,230,572","200,915","499,345","99,408","23,517","6,064,316","5,313,264","536,647","4,739,172","37,445"
,10-Sep,"7,757,369","2,044,834","349,420","1,515,999","179,415","399,738","62,200","46,317","4,516,627","3,902,461","481,108","3,387,716","33,637"
,10-Oct,"7,073,561","1,600,191","300,888","1,246,160","53,143","279,572","36,968","13,420","4,533,948","3,937,499","573,960","3,357,294","6,245"
,10-Nov,"6,332,871","1,214,303","240,883","972,909",511,"159,163","23,779",252,"4,385,118","3,811,008","588,956","3,221,646",406
,10-Dec,"6,586,077","1,342,974","268,488","1,074,279",207,"255,102","27,670",181,"4,436,865","3,755,179","571,402","3,183,622",155
,11-Jan,"6,313,755","997,427","193,304","803,987",136,"185,091","23,149",125,"4,570,938","3,503,674","682,657","2,820,717",300
,11-Feb,"5,838,169","998,865","188,555","810,154",156,"174,942","19,541",91,"4,127,856","3,238,595","647,969","2,590,385",241
